	ID	Source Segment	Segment Origin	Ref_rating	MT_Z_rating	MT_Y_rating
0	1	"Royal news: How Princess Beatrice ""reacted with fury at hostile family members"""	b	1	2	2
1	2	On Thursday, The Duke and Duchess of York announced that their eldest daughter, Princess Beatrice, is engaged to her boyfriend, the 34-year old property tycoon Edoardo Mapelli Mozzi. 	b	2	3	1
2	3	The Princess, who is ninth-in-line to the throne, will tie the knot with Mr Mapelli Mozzi next year. 	b	1	2	2
3	4	"The couple said in a statement: ""We are both so excited to be embarking on this life adventure together."	b	1	3	2
4	5	We share so many similar interests and values, and we know that this will stand us in great stead for the years ahead, full of love and happiness.	b	3	2	1
5	6	Princess Beatrice's parents, Prince Andrew and Sarah Ferguson, also shared their excitement.	b	1	2	3
6	7	"The Duchess of York wrote on Twitter: "" I know what a mother feels so I have tears of joy."	b	1	2	2
7	8	 I am so proud of this sensational news.	b	1	2	2
8	9	Andrew and I are just the luckiest people ever to have two great sons in law.	b	1	2	2
9	10	The royal wedding will be another occasion for the entire Royal Family to get together, and hopefully completely repair Fergie's relationship with the Duke of Edinburgh.	b	2	1	1
10	11	Since Sarah was embroiled in one of the Royal Family's biggest ever scandals, her relationship with the rest of the members has been extremely difficult.	b	1	2	2
11	12	"Five months after announcing she was separating from Prince Andrew in 1992, compromising photographs of her with her ""financial advisor"" were taken at her holiday villa in St Tropez."	b	1	2	2
12	13	"The snaps appeared to show Texan millionaire John Bryan kissing and sucking the Duchess"" toes and the arch of her foot, and Prince Philip in particular, is said to have had the strongest reaction to her daughter-in-law's scandalous antics."	b	1	3	2
13	14	"However, his behaviour was reportedly ""appalling"" towards the Duchess of York, and Princess Beatrice once claimed her mother was the victim of ""mean spirited actions to make her feel unwelcome."""	b	1	2	2
14	15	JUST IN: Kate and William behind closed doors: Couple's shock habit exposed	b	1	2	3
15	16	"The report noted that the Duchess"" spokesman was unable to comment on the claims, but a friend of Fergie was quoted as saying: ""It is no secret that Sarah's daughters are pretty fed up by the way their mother has been treated by some members of the Royal Family."	b	1	2	1
16	17	Some of the bills she has been sent have been pretty miserly.	b	1	2	2
17	18	"They are constantly berating their father for allowing it to happen and Beatrice in particular has been imploring Prince Andrew to see that their mother is not treated as an outcast."""	b	1	2	3
18	19	Philip and Sarah were pictured for the first time together in 26 years at Princess Eugenie's wedding to Jack Brooksbank last October.	b	1	2	2
19	20	Dog control laws to be reviewed in government consultation	a	1	2	2
20	21	Dog control laws in Scotland are being reviewed amid concerns about out-of-control animals and irresponsible owners.	a	2	1	2
21	22	A consultation has been launched by the Scottish Government seeking the public's views.	a	1	2	2
22	23	"Scotland's Community Safety Minister pledged to ""keep communities safe from irresponsible owners,"" with reviews to determine whether laws for out-of-control dogs need changing."	a	1	1	1
23	24	"Ash Denham MSP said: ""We are holding two reviews into dog control legislation because we are absolutely determined to help keep communities safe from irresponsible owners and their out-of-control dogs."	a	1	2	2
24	25	This consultation seeks views on improvements on how the Control of Dogs Act 2010 can operate across Scotland, and next year we will take a wider look at all dog control legislation to assess whether changes are needed.	a	1	1	2
25	26	"Owning a dog brings with it certain responsibilities, including keeping your dog under effective control, and I encourage everyone with an interest in this area to respond to our consultation."""	a	1	1	1
26	27	The consultation runs until January 15 and contains proposals to toughen and clarify the current legislation, including questioning whether a national dog control database should be created.	a	1	2	2
27	28	The Scottish Parliament's Post-Legislative Scrutiny Committee has been hearing evidence from victims and parents of children who have been attacked or killed by dogs, prompting the Government to review dog control laws.	a	1	3	2
