	ID	Source Segment	Segment Origin	Ref_rating	MT_Z_rating	MT_Y_rating
0	287	Man set alight on doorstep 'in targeted attack'	b	3	1	2
1	288	A man has been set alight on his doorstep in what police believe is a targeted attack.	b	2	1	2
2	289	The 48-year-old was soaked in flammable liquid, believed to be petrol, before bursting into flames outside his home in Skelmersdale, West Lancashire.	b	1	2	2
3	290	He is in hospital in a critical but stable condition after suffering serious burns.	b	2	1	1
4	291	Police have launched an attempted murder inquiry after they were called to the man's house at about 1am on Thursday.	b	1	3	2
5	292	"Detective Chief Inspector Pauline Stables, leading the investigation, said: ""This is a horrific incident which has left a man in a very poorly condition in hospital."	b	1	2	3
6	293	We are carrying out a number of enquiries to try to identify those responsible.	b	2	1	1
7	294	While we are trying to establish a motive for what has happened, we do believe that the incident was targeted and I would like to stress that I don't believe there is any threat to the wider community at this time.	b	2	1	2
8	295	Someone out there knows who has done this and I would urge them to come forward and speak to us.	b	1	2	3
9	296	Has a loved one come home acting suspiciously, smelling of smoke or petrol or with unexplained injuries?	b	1	2	2
10	297	We need to find the people responsible for this dreadful crime.	b	2	1	1
11	248	US deaths could result in Scottish ban on vaping and e-cigarette ads	a	2	1	1
12	249	A BAN on advertising for e-cigarettes and vaping products, is being considered by ministers.	a	2	3	1
13	250	"The First Minister has confirmed that a consultation on the move would take place in ""the coming months."""	a	2	2	1
14	251	"Nicola Sturgeon says that if evidence supports further moves over the sale of such products her Government would ""not hesitate"" to act."	a	1	1	1
15	252	It comes as it emerged a vaping-related illness had claimed two more lives, bringing the total number of fatalities to 11.	a	1	2	3
16	253	Vaping — which involves inhaling a mix typically made of nicotine, water, solvents and flavours — is seen as an alternative to smoking which can help you quit, but its safety is still not entirely known.	a	1	3	2
17	254	But in the US, more than 500 people are known to have fallen ill with a mysterious lung disease after smoking e-cigarettes.	a	1	2	1
18	255	Officials said hundreds of additional cases had been reported in the past week alone.	a	2	1	1
19	256	The first deaths in Florida and Georgia were announced on Tuesday and Wednesday.	a	1	2	2
20	257	Currently 38 states have recorded cases of the illness, with lives lost in eight states.	a	1	1	1
21	258	"While most patients have reported a history of using products containing THC, the psychoactive compound in cannabis, the patient who died in Georgia on Wednesday reported only ""heavy nicotine vaping."""	a	1	3	2
22	259	"The Centres for Disease Control and Prevention (CDC) has more than 100 officials investigating the cause of the mystery illness, and has warned citizens against smoking e-cigarette products until more is known, particularly if modified or bought ""off the street."""	a	1	2	1
23	260	"The First Minister has confirmed the Scottish Government was monitoring developments in the US and elsewhere ""closely,"" following the loss of life that has been attributed to vaping."	a	1	3	2
24	261	She pointed out that to date they have not seen any cases of deaths attributed to vaping being reported in Europe.	a	1	3	2
25	262	Our approach has been a precautionary one, which is why in Scotland we have already taken the strictest regulatory approach in Europe to vapour products, she said.	a	1	3	2
26	263	The European tobacco products directive restricts the advertising of e-cigarettes and ensures that e-liquids cannot contain ingredients that are known to be harmful.”	a	2	1	1
27	264	The directive also limits the concentration of nicotine in e-liquids.”	a	2	2	1
28	265	In Scotland, we have also introduced a retail register and a mandatory age verification scheme and we have funded trading standards departments in all council areas to ensure that retailers comply with the regulations.”	a	1	1	2
29	266	"In the coming months, we will consult on introducing a complete ban on the advertising and promotion of vapour products."""	a	1	2	2
30	267	"She added: ""It is important to stress, and for all of us to remember, that those devices are relatively new and, therefore, their impact continues to be studied."	a	1	2	2
31	268	We do not yet fully understand what that impact is, which is why the approach that we have taken has been very cautious.”	a	1	2	1
32	269	That is perhaps a reason why e-cigarette use remains relatively low in Scotland.”	a	1	1	1
33	270	We remain committed to following the best evidence to take any steps necessary to ensure that people are protected from potential harm.”	a	2	1	1
34	271	While we already have among the strictest regimes on those products, if the evidence shows that further action is needed... we will not hesitate to take it.	a	1	2	1
35	298	The Next Big Labor Strike Hits Oregon	b	2	1	2
36	299	"The state university workers"" most pressing complaints center on low wages and a lack of dignity at work."	b	2	1	3
37	300	The pay disparities alone are shocking. 	b	1	1	1
38	301	About half of these workers earn less than $40,000 per year (and hundreds make less than $25,000). 	b	2	1	1
39	302	"Meanwhile, university presidents"" annual salaries average out to $500,000 and four university athletics coaches are pulling down a cool $1 million. "	b	1	2	2
40	303	While school administrators enjoy six-figure salaries and overall administrative spending continues to bloat, one in six classified staffers qualify for food stamps.	b	1	2	2
41	304	"As Alejandro Segurra, another IT worker at Portland State University, said, ""I'm willing to go on strike because I don't think it's fair that people are paid wages that don't allow them to live in the city that they serve."""	b	1	2	2
42	305	"Portland State library worker Theresa Stapleburg was even more direct: ""I want to strike because I've been here 24 years, and I need a raise - a living wage."""	b	1	2	1
43	306	As inflation climbs and the cost of living in Oregon soars, these workers are being left to flounder, and management has shown little sympathy for their plight. 	b	1	2	2
44	307	Contract negotiations that began in February broke down in mid-August. 	b	1	1	1
45	308	At that point, the bosses had laid out some particularly egregious proposals - a paltry cost-of-living increase, a denial of seniority demands from long-term university workers, and a price hike for staff meals - that workers saw as disrespectful, and even cruel.	b	1	1	2
46	309	There is an unwritten class system at the universities, Fulmer said. 	b	1	2	2
47	310	And we are at the bottom of it.	b	1	1	1
48	311	Education workers have been under attack for decades, he continued. 	b	2	1	2
49	312	We are finally standing up and fighting back.	b	2	1	1
50	313	It's one thing to see classism and the squeezing of the middle class in the corporate world as executives see their relatively obscene pay continue to go up at rates above inflation. 	b	2	3	1
51	314	But for the same thing to be happening in education is not something workers will continue to tolerate.	b	2	1	1
52	315	And Oregon's state university workers aren't the only ones taking action.	b	2	1	2
53	316	Oregon is a powder keg of militancy right now, and its fuse is now burning bright and hot.	b	1	2	3
54	317	Grocery store workers at the Fred Meyer supermarket chain are ramping up their campaign against their employer, and while there are no official plans to strike yet, tensions are running high; their union, United Food and Commercial Workers Local 555, has already called for a boycott, and filed an unfair labor practice report against the chain.	b	2	1	2
55	318	In the healthcare sector, the 4,500 members of the Service Employees International Union Local 49 workers at Kaiser Permanente authorized a strike (with a 98 percent approval rate) if a deal isn't reached before their existing contract expires in October - which was only narrowly avoided with a new tentative agreement. 	b	1	1	2
56	319	Elsewhere in the industry, the Oregon Nurses Association, which represents more than 120 nurses at Astoria Hospital, has been deadlocked in contract negotiations with the hospital administration; their last contract expired in May, and the clock is ticking.	b	1	2	3
57	320	Oregon has a really strong labor movement that is really building from the ground up, Burley explains. 	b	2	1	2
58	321	This is a part of the national wave of labor growth. 	b	1	1	1
59	322	People are seeing a precarious economy where real wages are falling and the solution is collective action in the workplace.	b	1	2	2
60	323	It's unclear just how deeply such collective action may take root this fall, but it certainly would be fitting if the general strike returned to the Northwest in 2019. 	b	1	2	2
61	324	And from there we can only hope that its spirit will spread even further, into the heart of Midwestern farming, Southern manufacturing, Texan oil fields, Appalachian coal mines, Northeastern construction, the Silicon Valley tech giants, and everywhere in between. 	b	1	1	2
62	325	Lord knows that something's gotta give.	b	2	1	2
63	272	School strikers around the world march to demand action on climate	a	2	1	1
64	273	Children around the world launched another wave of school strikes demanding action on climate change Friday, in their first major action since the issue topped world leader's agenda at the United Nations this week.	a	2	2	1
65	274	The Fridays for Future movement that began as a lone demonstration by Swedish teen Greta Thunberg just over a year ago has mushroomed, with millions of students taking to the streets of cities like New York and attracting attention in developing nations across Africa.	a	1	2	1
66	275	Some of the first protests began in New Zealand, where Thunberg said organizers estimated 170,000 people marched across the country.	a	2	1	1
67	276	There were also marches in cities in Italy, Finland, Nigeria, Austria and India, among other countries.	a	2	1	2
68	277	Friday's protest followed a week of climate talks at the United Nations in New York, which included a scathing speech by Thunberg to world leaders reprimanding them for inaction.	a	2	1	2
69	278	You have stolen my dreams and my childhood with your empty words, she said on Tuesday.	a	2	3	1
70	279	The eyes of all future generations are upon you and if you choose to fail us, I say we will never forgive you.	a	1	2	1
71	280	Citing a U.N.-backed report released last year, demonstrators are demanding governments implement measures to prevent global temperatures from rising more than 2.7 degrees, which scientists warn result in dire consequences for human life and the planet.	a	1	2	2
72	281	Thunberg and the young people she has inspired say they will not stop their weekly classroom walkouts until they see a reduction in greenhouse gas emissions responsible for climate change.	a	1	2	2
73	282	In Nigeria's capital Abuja, Oladosu Adenike marked her 46th consecutive strike on Friday.	a	2	3	1
74	283	"The activist posted images on Twitter of students dressed in blue school uniforms carrying banners with messages, ""Climate change is real"" and ""We don't have time."""	a	1	1	1
75	284	In Lausanne, Switzerland, where hundreds of climate strike organizers gathered in August planning for this week's events, thousands of people marched through the city, according to local reports.	a	2	1	2
76	285	Thousands more were expected to take to the streets of Helsinki, Finland, where local media reported that the city's school would allow students to participate.	a	2	1	1
77	286	Thunberg, who remains in North America following her visit to the U.N., was scheduled to participate in climate strikes in Montreal, Canada.	a	1	2	2
78	326	Meghan to 'fulfil her heart's desires' and refuses let own needs 'fade away' amid her royal duties	b	2	1	1
79	327	Meghan Markle is determined to 'fulfil her heart's desires' and not let her own needs 'fade away' now she's a member of the Royal Family - and wants to be a role model for young boys as well as girls.	b	2	1	2
80	328	The Duchess of Sussex, 38, reportedly made the remarks during an event for inspiring female entrepreneurs at Woodstock Exchange in Cape Town earlier this week during her tour of South Africa with husband Prince Harry.	b	1	2	2
81	329	Woodstock Exchange, the UK-SA Tech Hub, focuses on skills development and access to markets by assisting entrepreneurs, particularly women, to acquire skills, resources and support.	b	2	1	1
82	330	The Ladies Who Launch meeting saw the former actress, 38, meet with several women who have set up their own businesses in industries such as technology, conservation and fashion and praise them for 'empowering the next generation' of creative minds.	b	1	1	1
83	331	During a conversation with the female tech founders Meghan, who has campaigned vigorously for the empowerment of young women and girls, said she hopes to do the same for young men.	b	2	3	1
84	332	Mother-of-two Naadiya Moosajee, a South African engineer, social entrepreneur and co-founder of Women in Engineering, revealed: 'We acknowledged the importance of not just education for girls but being role models for boys - that we are women who are influential and who boys can look up to as well,' People reports.	b	2	2	1
85	333	'We both have sons, and we were bearing in mind that we are not just role models for girls but boys - and not just our sons, but generally in public too.'	b	2	3	1
86	334	She added that having Meghan present 'didn't feel hierarchical', as it was 'women gathered together and a talk about the struggles we have, as well as the things we need to do to move forward and grow and change our societies'.	b	2	3	1
87	335	Matsi Modise, founder of skills training company Simodisa, said Meghan is determined to continue to champion the issues close to her heart despite being a member of the Fold.	b	3	1	2
88	336	'She talked about being a mother and having duties as a duchess and fulfilling what her heart desires - and that it can't just fade away now that you're a duchess,' Modise recalled.	b	3	2	1
89	337	'That you have to be true to who you are.'	b	3	2	1
90	338	She said the duchess pushed them to plough ahead with their new ideas and spoke about how they have to keep pushing and going forward, knowing they are doing it for others who will follow.	b	3	1	2
91	339	'She wasn't referring to being a royal, but life in general when you have challenges,' Modise added, admitting she felt a bit 'awestruck' by Meghan.	b	1	1	2
92	340	'She radiates grace and she is taking this task that she has with such grace,' Modise said.	b	1	2	3
